K,injection_rate,run,cycles,syndromes_injected,syndromes_issued,stall_cycles,stall_rate_pct,avg_workers,status,errors
10,0.1,1,2230,221,221,534,23.95,0.85,ALL WORKERS DONE,0
10,0.1,2,2230,221,221,534,23.95,0.85,ALL WORKERS DONE,0
10,0.1,3,2230,221,221,534,23.95,0.85,ALL WORKERS DONE,0
10,0.5,1,1738,221,221,944,54.32,1.28,ALL WORKERS DONE,0
10,0.5,2,1738,221,221,944,54.32,1.28,ALL WORKERS DONE,0
10,0.5,3,1738,221,221,944,54.32,1.28,ALL WORKERS DONE,0
10,1.0,1,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,1.0,2,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,1.0,3,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,1.5,1,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,1.5,2,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,1.5,3,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,2.0,1,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,2.0,2,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
10,2.0,3,1737,221,221,944,54.35,1.28,ALL WORKERS DONE,0
15,0.1,1,2271,221,221,1598,70.37,1.42,ALL WORKERS DONE,0
15,0.1,2,2271,221,221,1598,70.37,1.42,ALL WORKERS DONE,0
15,0.1,3,2271,221,221,1598,70.37,1.42,ALL WORKERS DONE,0
15,0.5,1,2197,221,221,1718,78.2,1.51,ALL WORKERS DONE,0
15,0.5,2,2197,221,221,1718,78.2,1.51,ALL WORKERS DONE,0
15,0.5,3,2197,221,221,1718,78.2,1.51,ALL WORKERS DONE,0
15,1.0,1,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,1.0,2,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,1.0,3,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,1.5,1,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,1.5,2,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,1.5,3,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,2.0,1,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,2.0,2,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
15,2.0,3,2196,221,221,1718,78.23,1.51,ALL WORKERS DONE,0
20,0.1,1,2880,221,221,2052,71.25,1.58,ALL WORKERS DONE,0
20,0.1,2,2880,221,221,2052,71.25,1.58,ALL WORKERS DONE,0
20,0.1,3,2880,221,221,2052,71.25,1.58,ALL WORKERS DONE,0
20,0.5,1,2872,221,221,2060,71.73,1.58,ALL WORKERS DONE,0
20,0.5,2,2872,221,221,2060,71.73,1.58,ALL WORKERS DONE,0
20,0.5,3,2872,221,221,2060,71.73,1.58,ALL WORKERS DONE,0
20,1.0,1,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,1.0,2,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,1.0,3,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,1.5,1,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,1.5,2,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,1.5,3,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,2.0,1,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,2.0,2,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
20,2.0,3,2871,221,221,2060,71.75,1.58,ALL WORKERS DONE,0
5,0.1,1,2225,221,221,0,0.0,0.0,ALL WORKERS DONE,0
5,0.1,2,2225,221,221,0,0.0,0.0,ALL WORKERS DONE,0
5,0.1,3,2225,221,221,0,0.0,0.0,ALL WORKERS DONE,0
5,0.5,1,1063,221,221,606,57.01,1.05,ALL WORKERS DONE,0
5,0.5,2,1063,221,221,606,57.01,1.05,ALL WORKERS DONE,0
5,0.5,3,1063,221,221,606,57.01,1.05,ALL WORKERS DONE,0
5,1.0,1,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,1.0,2,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,1.0,3,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,1.5,1,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,1.5,2,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,1.5,3,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,2.0,1,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,2.0,2,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
5,2.0,3,1062,221,221,606,57.06,1.05,ALL WORKERS DONE,0
