K,injection_rate,run,stall_cycles,total_cycles,stall_rate_pct,avg_workers,syndromes_issued,errors
10,0.1,1,82,119,68.91,1.14,18,96
10,0.1,2,82,119,68.91,1.14,18,96
10,0.1,3,82,119,68.91,1.14,18,96
10,0.5,1,82,119,68.91,1.14,18,96
10,0.5,2,82,119,68.91,1.14,18,96
10,0.5,3,82,119,68.91,1.14,18,96
10,1.0,1,82,119,68.91,1.14,18,96
10,1.0,2,82,119,68.91,1.14,18,96
10,1.0,3,82,119,68.91,1.14,18,96
10,1.5,1,82,119,68.91,1.14,18,96
10,1.5,2,82,119,68.91,1.14,18,96
10,1.5,3,82,119,68.91,1.14,18,96
10,2.0,1,82,119,68.91,1.14,18,96
10,2.0,2,82,119,68.91,1.14,18,96
10,2.0,3,82,119,68.91,1.14,18,96
15,0.1,1,123,146,84.25,1.09,11,103
15,0.1,2,123,146,84.25,1.09,11,103
15,0.1,3,123,146,84.25,1.09,11,103
15,0.5,1,123,146,84.25,1.09,11,103
15,0.5,2,123,146,84.25,1.09,11,103
15,0.5,3,123,146,84.25,1.09,11,103
15,1.0,1,123,146,84.25,1.09,11,103
15,1.0,2,123,146,84.25,1.09,11,103
15,1.0,3,123,146,84.25,1.09,11,103
15,1.5,1,123,146,84.25,1.09,11,103
15,1.5,2,123,146,84.25,1.09,11,103
15,1.5,3,123,146,84.25,1.09,11,103
15,2.0,1,123,146,84.25,1.09,11,103
15,2.0,2,123,146,84.25,1.09,11,103
15,2.0,3,123,146,84.25,1.09,11,103
20,0.1,1,116,131,88.55,0.98,7,107
20,0.1,2,116,131,88.55,0.98,7,107
20,0.1,3,116,131,88.55,0.98,7,107
20,0.5,1,116,131,88.55,0.98,7,107
20,0.5,2,116,131,88.55,0.98,7,107
20,0.5,3,116,131,88.55,0.98,7,107
20,1.0,1,116,131,88.55,0.98,7,107
20,1.0,2,116,131,88.55,0.98,7,107
20,1.0,3,116,131,88.55,0.98,7,107
20,1.5,1,116,131,88.55,0.98,7,107
20,1.5,2,116,131,88.55,0.98,7,107
20,1.5,3,116,131,88.55,0.98,7,107
20,2.0,1,116,131,88.55,0.98,7,107
20,2.0,2,116,131,88.55,0.98,7,107
20,2.0,3,116,131,88.55,0.98,7,107
5,0.1,1,76,146,52.05,1.15,34,80
5,0.1,2,76,146,52.05,1.15,34,80
5,0.1,3,76,146,52.05,1.15,34,80
5,0.5,1,76,146,52.05,1.15,34,80
5,0.5,2,76,146,52.05,1.15,34,80
5,0.5,3,76,146,52.05,1.15,34,80
5,1.0,1,76,146,52.05,1.15,34,80
5,1.0,2,76,146,52.05,1.15,34,80
5,1.0,3,76,146,52.05,1.15,34,80
5,1.5,1,76,146,52.05,1.15,34,80
5,1.5,2,76,146,52.05,1.15,34,80
5,1.5,3,76,146,52.05,1.15,34,80
5,2.0,1,76,146,52.05,1.15,34,80
5,2.0,2,76,146,52.05,1.15,34,80
5,2.0,3,76,146,52.05,1.15,34,80
